Subject	OspanPartialScore	OspanPartialScoreBlock1	OspanPartialScoreBlock2	OspanPartialScoreBlock3	OspanAbsoluteScore	MathACC	MathTimeMean
006	31	17	14	0	15	0.759999990463257	1888.1
007	11	5	6	0	0	0.860000014305115	1686.86
008	32	17	15	0	19	0.860000014305115	1872.54
009	41	23	18	0	30	0.819999992847443	1657.7
010	9	4	5	0	0	0.899999976158142	1057.28
011	22	9	13	0	6	0.699999988079071	981.92
012	34	15	19	0	20	0.920000016689301	2010.22
013	33	11	22	0	20	0.759999990463257	1595.22
014	15	5	10	0	7	0.899999976158142	1869.68
015	17	11	6	0	12	0.899999976158142	1550.08
016	0	0	0	0	0	0.620000004768372	910.14
017	18	9	9	0	3	0.180000007152557	479.04
018	30	6	24	0	21	0.860000014305115	2137.8
019	40	15	25	0	37	0.959999978542328	2081.78
020	31	12	19	0	17	0.899999976158142	1525.56
021	20	6	14	0	8	0.879999995231628	1659.18
022	30	12	18	0	19	0.939999997615814	2069.28
023	11	4	7	0	4	0.839999973773956	1671.72
024	20	12	8	0	9	0.779999971389771	1754.04
025	48	25	23	0	43	0.819999992847443	1047.9
026	44	22	22	0	36	0.800000011920929	1666.06
027	34	16	18	0	24	0.920000016689301	2861.74
028	17	10	7	0	0	0.720000028610229	1656.1
029	15	4	11	0	3	0.939999997615814	2405.06
030	36	18	18	0	22	0.46000000834465	920.34
031	13	6	7	0	0	0.920000016689301	1494.08
032	17	9	8	0	8	0.839999973773956	2030.04
033	10	2	8	0	4	0.660000026226044	1716.8
034	8	4	4	0	0	0.479999989271164	1339.32
035	20	5	15	0	3	0.779999971389771	1566.84
036	16	10	6	0	3	0.800000011920929	1468.44
037	39	18	21	0	25	0.819999992847443	1317.9
038	29	13	16	0	11	0.899999976158142	2412.26
039	29	12	17	0	7	0.860000014305115	1797.02
040	25	10	15	0	7	0.639999985694885	1433.26
041	20	4	16	0	15	0.720000028610229	1632.24
042	36	18	18	0	20	0.800000011920929	1570.6
043	6	2	4	0	0	0.759999990463257	1240.54
044	8	7	1	0	0	0.779999971389771	1363.44
045	9	7	2	0	0	0.759999990463257	1726.04
046	38	14	24	0	25	0.860000014305115	1644.86
047	46	21	25	0	37	0.819999992847443	1327.62
048	37	15	22	0	21	0.939999997615814	1284.56
049	30	12	18	0	11	0.579999983310699	1164.72
050	39	17	22	0	34	0.839999973773956	1233.54
051	17	11	6	0	6	0.500000000000000	756.62
052	15	10	5	0	0	0.639999985694885	1369.04
053	27	13	14	0	14	0.779999971389771	1354.52
054	41	21	20	0	30	0.959999978542328	1282.46
055	4	2	2	0	0	0.439999997615814	784.04
056	25	10	15	0	10	0.579999983310699	913.7
057	25	5	20	0	16	0.860000014305115	1465.5
058	25	13	12	0	14	0.779999971389771	1325.96
059	31	12	19	0	11	0.660000026226044	1120.1
060	27	11	16	0	17	0.939999997615814	1567.34
061	15	6	9	0	0	0.579999983310699	1430.04
062	34	17	17	0	17	0.959999978542328	1261.66
063	10	7	3	0	3	0.699999988079071	1068.34
064	11	4	7	0	0	0.720000028610229	1493.86
