Subject	OspanPartialScore	OspanPartialScoreBlock1	OspanPartialScoreBlock2	OspanPartialScoreBlock3	OspanAbsoluteScore	MathACC	MathTimeMean
006	28	15	13	0	10	0.839999973773956	2189.26
007	6	2	4	0	3	0.920000016689301	1544.52
008	35	20	15	0	14	0.800000011920929	2095.42
009	32	16	16	0	21	0.720000028610229	1777.04
010	14	4	10	0	0	0.639999985694885	1011.5
011	27	12	15	0	8	0.879999995231628	1377.8
012	28	20	8	0	12	0.899999976158142	1571.02
013	45	22	23	0	25	0.839999973773956	1665.98
014	9	7	2	0	3	0.839999973773956	1615.28
015	16	5	11	0	8	0.839999973773956	1826.94
016	2	1	1	0	0	0.400000005960464	725.94
017	18	12	6	0	3	0.200000002980232	481.64
018	32	15	17	0	19	0.939999997615814	1697
019	37	17	20	0	25	0.980000019073486	2142.28
020	32	15	17	0	11	0.879999995231628	1595.66
021	36	17	19	0	15	0.46000000834465	779.1
022	18	5	13	0	6	0.740000009536743	1383.38
023	11	2	9	0	0	0.860000014305115	1631
024	41	20	21	0	26	0.899999976158142	1748.74
25	13	5	8	0	4	0.800000011920929	1141.64
026	41	21	20	0	24	0.819999992847443	1665.92
027	36	15	21	0	21	0.759999990463257	1572.56
028	25	15	10	0	7	0.759999990463257	1851.22
029	12	6	6	0	0	0.939999997615814	2359.46
030	27	16	11	0	8	0.340000003576279	801.3
031	20	10	10	0	7	0.819999992847443	1536.74
032	15	10	5	0	0	0.899999976158142	2262.1
033	9	7	2	0	0	0.740000009536743	1729.62
034	30	15	15	0	11	0.680000007152557	1330.6
035	13	5	8	0	0	0.540000021457672	1329.48
036	18	5	13	0	8	0.720000028610229	1621.66
037	45	25	20	0	37	0.920000016689301	1740.68
038	41	19	22	0	19	0.839999973773956	1996.24
039	27	13	14	0	4	0.879999995231628	1557.54
040	21	8	13	0	7	0.699999988079071	1255.76
041	11	6	5	0	3	0.699999988079071	1776.68
042	18	5	13	0	11	0.579999983310699	1306.48
043	6	4	2	0	3	0.759999990463257	1322.82
044	6	3	3	0	0	0.699999988079071	1412.56
045	8	5	3	0	0	0.680000007152557	1393.98
046	32	14	18	0	23	0.920000016689301	1702.8
047	45	23	22	0	30	0.620000004768372	1159.44
048	31	14	17	0	10	0.899999976158142	1394.5
049	30	11	19	0	11	0.560000002384186	1306.86
050	46	24	22	0	37	0.959999978542328	1285.76
051	20	6	14	0	10	0.800000011920929	997.24
052	12	7	5	0	4	0.600000023841858	1045.08
053	27	8	19	0	9	0.779999971389771	1503.26
054	32	11	21	0	17	0.860000014305115	1583.64
055	4	2	2	0	0	0.50000000000000	837.72
056	23	10	13	0	6	0.660000026226044	910.56
057	43	23	20	0	31	0.839999973773956	1306.1
058	17	5	12	0	4	0.779999971389771	1141.26
059	23	6	17	0	12	0.360000014305115	627.26
060	18	4	14	0	15	0.740000009536743	1388.98
061	12	3	9	0	3	0.219999998807907	471.7
062	44	23	21	0	38	0.939999997615814	1265.66
063	1	0	1	0	0	0.720000028610229	1125.38
064	29	16	13	0	14	0.879999995231628	1690.24
