Subject	OspanPartialScore	OspanPartialScoreBlock1	OspanPartialScoreBlock2	OspanPartialScoreBlock3	OspanAbsoluteScore	MathACC	MathTimeMean
006	48	25	23	0	43	0.899999976158142	2162.36
007	31	15	16	0	13	0.939999997615814	2079.88
008	31	13	18	0	7	0.340000003576279	772.84
009	43	23	20	0	30	0.879999995231628	1533.96
010	31	16	15	0	13	0.720000028610229	937.96
011	37	19	18	0	28	0.939999997615814	1435.5
012	44	21	23	0	30	0.860000014305115	1659.9
013	38	16	22	0	24	0.800000011920929	2011.62
014	24	13	11	0	3	0.800000011920929	1817.46
015	31	17	14	0	18	0.920000016689301	1721.56
016	2	1	1	0	0	0.740000009536743	1154.26
017	26	10	16	0	5	0.379999995231628	1163.36
018	43	21	22	0	30	0.860000014305115	1588.34
019	50	25	25	0	50	0.959999978542328	1934.18
020	27	8	19	0	23	0.899999976158142	1877.18
021	45	22	23	0	33	0.899999976158142	1411.24
022	31	11	20	0	16	0.959999978542328	3068.54	
023	42	21	21	0	36	0.920000016689301	1438.46
024	44	22	22	0	25	0.959999978542328	1726.34
025	37	20	17	0	30	0.959999978542328	1292.36
026	42	20	22	0	36	0.860000014305115	1662.58
027	42	18	24	0	31	0.959999978542328	1909.8
028	29	12	17	0	11	0.860000014305115	2351.42
029	38	16	22	0	27	0.920000016689301	2447.74
030	45	23	22	0	36	0.639999985694885	1843.74
031	45	21	24	0	31	0.920000016689301	1885.66
032	22	13	9	0	10	0.839999973773956	2270.58
033	32	16	16	0	21	0.920000016689301	2314.12
034	40	22	18	0	19	0.860000014305115	2162.34
035	31	17	14	0	16	0.800000011920929	1949.34
036	26	11	15	0	11	0.819999992847443	1709.36
037	50	25	25	0	50	0.939999997615814	1872.08
038	35	15	20	0	25	0.860000014305115	1994.52
039	46	23	23	0	36	0.980000019073486	1846.98
040	26	16	10	0	8	0.740000009536743	1632.5
041	45	21	24	0	36	0.839999973773956	1803.02
042	40	23	17	0	32	0.860000014305115	1684.92
043	16	7	9	0	3	0.680000007152557	1332.04
044	20	12	8	0	3	0.860000014305115	1893.42
045	29	12	17	0	7	0.879999995231628	1774.2
046	48	23	25	0	46	0.920000016689301	1446.44
048	45	22	23	0	25	0.959999978542328	1317.48
049	35	18	17	0	31	0.839999973773956	1555.28
050	45	20	25	0	44	0.920000016689301	1613.14
051	35	15	20	0	16	0.899999976158142	750.1
053	44	22	22	0	27	0.939999997615814	1401.14
054	48	25	23	0	43	0.959999978542328	1567.2
055	6	5	1	0	0	0.579999983310699	891.7
056	39	16	23	0	15	0.860000014305115	1312.1
057	47	23	24	0	36	0.819999992847443	1493.58
058	42	20	22	0	19	0.920000016689301	1242.7
059	39	17	22	0	30	0.779999971389771	1456.9
060	35	17	18	0	14	0.920000016689301	1307.84
061	11	3	8	0	3	0.46000000834465	897.6
062	31	15	16	0	17	0.959999978542328	1518.28
063	27	16	11	0	14	0.860000014305115	1320
064	34	13	21	0	19	0.860000014305115	1598.92
047	46	22	24	0	34	0.980000019073486	3013.58
052	32	16	16	0	24	0.959999978542328	3297.52
