"task"	"ID"	"mean"	"sd"
"1"	"A"	"001"	1.28059523809524	0.179915316026475
"2"	"A"	"002"	1.74277108433735	0.131606520457226
"3"	"A"	"003"	1.45465909090909	0.220984988638961
"4"	"A"	"004"	1.46866666666667	0.245474352341864
"5"	"A"	"005"	1.55613861386139	0.0989946493203516
"6"	"A"	"006"	1.66063829787234	0.0721230804427797
"7"	"A"	"007"	1.81533333333333	0.118615023540545
"8"	"A"	"008"	1.67547619047619	0.214341901267092
"9"	"A"	"009"	1.3315625	0.194033790464717
"10"	"A"	"010"	1.95999999999999	0.0346410161513819
"11"	"A"	"011"	1.41463414634146	0.259336630279793
"12"	"A"	"012"	1.274	0.207531234957888
"13"	"A"	"013"	1.13981132075472	0.141468813715218
"14"	"A"	"014"	1.39640449438202	0.215054153808943
"15"	"A"	"015"	1.51548780487805	0.230057171847737
"16"	"A"	"016"	1.32769230769231	0.270137518397861
"17"	"A"	"017"	1.37209523809524	0.156160021711552
"18"	"A"	"018"	1.25706666666667	0.205056177756331
"19"	"A"	"019"	1.5516	0.10634154998177
"20"	"A"	"020"	1.44824175824176	0.187406826666797
"21"	"A"	"021"	1.14060606060606	0.144678729369367
"22"	"A"	"022"	1.17112068965517	0.126983542594916
"23"	"A"	"023"	1.44835164835165	0.207140659328999
"24"	"A"	"024"	1.51	0.171561456432771
"25"	"A"	"025"	1.76506493506494	0.11516148132335
"26"	"A"	"026"	1.43703296703297	0.241410183461421
"27"	"A"	"027"	1.27758620689655	0.162409148862319
"28"	"A"	"028"	1.66443037974683	0.169302845292727
"29"	"A"	"029"	1.68619047619048	0.195472565362825
"30"	"A"	"030"	1.2475	0.182004578696984
"31"	"A"	"031"	1.40848484848485	0.170691054225401
"32"	"A"	"032"	1.19585858585858	0.147682851732822
"33"	"A"	"033"	1.21074074074074	0.188512451696023
"34"	"A"	"034"	1.29926470588235	0.257515779412022
"35"	"A"	"035"	1.78156862745098	0.124777763227582
"36"	"A"	"036"	1.718	0.15035582795489
"37"	"A"	"037"	1.81125	0.157942020432124
"38"	"A"	"039"	1.14461538461538	0.135463059114341
"39"	"A"	"040"	1.23017543859649	0.167091626148117
"40"	"A"	"041"	1.64414634146341	0.183403698412514
"41"	"A"	"042"	1.5916129032258	0.295399128572327
"42"	"A"	"043"	1.89857142857142	0.0971988634070377
"43"	"A"	"044"	1.40536231884058	0.259510737112932
"44"	"A"	"045"	1.14551020408163	0.123525659016151
"45"	"A"	"046"	1.29409523809524	0.139592092831049
"46"	"A"	"047"	1.694875	0.163614193853651
"47"	"A"	"048"	1.3019512195122	0.184145936653919
"48"	"A"	"049"	1.64840909090909	0.202896962988241
"49"	"A"	"050"	1.27104761904762	0.128279471119205
"50"	"A"	"051"	1.56368421052632	0.259961760570791
"51"	"A"	"052"	1.27428571428572	0.217754258955441
"52"	"A"	"053"	1.68907407407407	0.188612295948829
"53"	"A"	"054"	1.48282608695652	0.219826735402468
"54"	"A"	"055"	1.2192	0.191983506235998
"55"	"A"	"056"	1.64645833333333	0.222246648332513
"56"	"A"	"057"	1.47470588235294	0.230239787970891
"57"	"A"	"058"	1.27066666666667	0.15414320680824
"58"	"A"	"059"	1.55987951807229	0.224039924446752
"59"	"A"	"060"	1.68857142857142	0.303887510516009
"60"	"A"	"061"	1.13195652173913	0.128194636137007
"61"	"A"	"062"	1.42463917525773	0.203342188275443
"62"	"A"	"063"	1.69727272727273	0.209512420981321
"63"	"B"	"001"	1.7137037037037	0.161915175992011
"64"	"B"	"002"	1.68516129032258	0.156138207319497
"65"	"B"	"003"	1.49161290322581	0.113522296611533
"66"	"B"	"004"	1.21142857142857	0.0918484319614742
"67"	"B"	"005"	1.5028125	0.0784624165218713
"68"	"B"	"006"	1.593125	0.0760066847654354
"69"	"B"	"007"	1.65	0.171090619263594
"70"	"B"	"008"	1.7758064516129	0.135518121630736
"71"	"B"	"009"	1.48035714285714	0.104650463815119
"72"	"B"	"010"	1.94333333333333	0.0595538971576722
"73"	"B"	"011"	1.41107142857143	0.163850412486383
"74"	"B"	"012"	1.14914285714286	0.0893233198117085
"75"	"B"	"013"	1.28827586206897	0.115110784077069
"76"	"B"	"014"	1.68862068965517	0.179517689894956
"77"	"B"	"015"	1.43793103448276	0.139088340641705
"78"	"B"	"016"	1.45551724137931	0.204896946343009
"79"	"B"	"017"	1.61666666666667	0.120897030377189
"80"	"B"	"018"	1.62	0.137840487520902
"81"	"B"	"019"	1.49033333333333	0.104303381547766
"82"	"B"	"020"	1.59214285714286	0.126618620795976
"83"	"B"	"021"	1.27939393939394	0.122676897629999
"84"	"B"	"022"	1.29914285714286	0.134806428293474
"85"	"B"	"023"	1.41275862068965	0.0956144247830893
"86"	"B"	"024"	1.48266666666667	0.119306424757872
"87"	"B"	"025"	1.77307692307692	0.091510402939523
"88"	"B"	"026"	1.57896551724138	0.165536893332535
"89"	"B"	"027"	1.33393939393939	0.129830162951917
"90"	"B"	"028"	1.68785714285714	0.0896229609657882
"91"	"B"	"029"	1.50357142857143	0.166493560896828
"92"	"B"	"030"	1.345	0.126756622625054
"93"	"B"	"031"	1.4115625	0.06896045500748
"94"	"B"	"032"	1.23081081081081	0.138250545073837
"95"	"B"	"033"	1.14388888888889	0.0996931801014
"96"	"B"	"034"	1.73	0.210215309124898
"97"	"B"	"035"	1.84	0.19078784028339
"98"	"B"	"036"	1.79423076923077	0.135415599601319
"99"	"B"	"037"	1.8640625	0.0782411233757341
"100"	"B"	"039"	1.44774193548387	0.097081054705827
"101"	"B"	"040"	1.15130434782609	0.114029675078109
"102"	"B"	"041"	1.715625	0.116007160513145
"103"	"B"	"043"	1.76	0.254308331111522
"104"	"B"	"044"	1.31030303030303	0.204090740365726
"105"	"B"	"045"	1.58121212121212	0.166672537775378
"106"	"B"	"046"	1.43228571428571	0.099027201084459
"107"	"B"	"047"	1.89074074074074	0.0912699262090168
"108"	"B"	"048"	1.33115384615385	0.194305469260685
"109"	"B"	"049"	1.7437037037037	0.143396924871762
"110"	"B"	"050"	1.65129032258065	0.0872063428688483
"111"	"B"	"051"	1.48838709677419	0.218907846276214
"112"	"B"	"052"	1.10434782608696	0.0759082033509449
"113"	"B"	"053"	1.59758620689655	0.116608477161024
"114"	"B"	"054"	1.7047619047619	0.306783621590512
"115"	"B"	"055"	1.62363636363636	0.175622578398366
"116"	"B"	"056"	1.6148275862069	0.231418308475231
"117"	"B"	"057"	1.85615384615385	0.107965806552887
"118"	"B"	"058"	1.695	0.13522272436682
"119"	"B"	"059"	1.46896551724138	0.128850545416724
