"task"	"ID"	"mean"	"sd"
"1"	"baseline"	"006"	0.507666666666666	0.0345097021173734
"2"	"baseline"	"007"	0.627096774193549	0.0746187442218599
"3"	"baseline"	"008"	0.617346938775511	0.0644778873660088
"4"	"baseline"	"009"	0.610555555555555	0.0518208145960371
"5"	"baseline"	"010"	0.565357142857142	0.205831325097844
"6"	"baseline"	"011"	0.475365853658536	0.125441172686156
"7"	"baseline"	"012"	0.594705882352941	0.121959637986027
"8"	"baseline"	"013"	0.600714285714286	0.0628351640383099
"9"	"baseline"	"014"	0.518157894736842	0.0660816555956255
"10"	"baseline"	"015"	0.574800000000001	0.0793788384898649
"11"	"baseline"	"018"	0.628333333333334	0.0365855948035082
"12"	"baseline"	"019"	0.506129032258065	0.0368490089739966
"13"	"baseline"	"020"	0.561621621621621	0.0429801965711788
"14"	"baseline"	"021"	0.534117647058823	0.0929032617445738
"15"	"baseline"	"022"	0.545	0.0595683397181278
"16"	"baseline"	"023"	0.665666666666666	0.0716641271937138
"17"	"baseline"	"024"	0.555333333333333	0.0422417780886644
"18"	"baseline"	"025"	0.590689655172413	0.0430058994692884
"19"	"baseline"	"026"	0.578750000000001	0.0530824070242101
"20"	"baseline"	"027"	0.518571428571429	0.075704801242833
"21"	"baseline"	"028"	0.451379310344827	0.0482348523914162
"22"	"baseline"	"029"	0.672432432432432	0.103800166061883
"23"	"baseline"	"030"	0.677096774193549	0.128897725565327
"24"	"baseline"	"031"	0.607096774193549	0.0802576496203361
"25"	"baseline"	"032"	0.586470588235294	0.0297344156218138
"26"	"baseline"	"033"	0.498888888888889	0.0478739928554028
"27"	"baseline"	"034"	0.745172413793103	0.0587136324919018
"28"	"baseline"	"035"	0.593055555555555	0.214153742430118
"29"	"baseline"	"036"	0.522666666666667	0.0701689258925888
"30"	"baseline"	"037"	0.563225806451613	0.0478460793778128
"31"	"baseline"	"038"	0.622857142857142	0.0615366523454236
"32"	"baseline"	"039"	0.553611111111111	0.0339876261330323
"33"	"baseline"	"040"	0.609736842105264	0.0699222286932683
