"Condition"	"Subject"	"mean"
"1"	"baseline"	"006"	1
"2"	"baseline"	"007"	1
"3"	"baseline"	"008"	1
"4"	"baseline"	"009"	1
"5"	"baseline"	"010"	1
"6"	"baseline"	"011"	1
"7"	"baseline"	"012"	1
"8"	"baseline"	"013"	1
"9"	"baseline"	"014"	1
"10"	"baseline"	"015"	1
"11"	"baseline"	"018"	1
"12"	"baseline"	"019"	1
"13"	"baseline"	"020"	1
"14"	"baseline"	"021"	1
"15"	"baseline"	"022"	1
"16"	"baseline"	"023"	1
"17"	"baseline"	"024"	1
"18"	"baseline"	"026"	1
"19"	"baseline"	"027"	0.944444444444444
"20"	"baseline"	"028"	1
"21"	"baseline"	"029"	1
"22"	"baseline"	"030"	1
"23"	"baseline"	"031"	1
"24"	"baseline"	"032"	1
"25"	"baseline"	"033"	1
"26"	"baseline"	"034"	1
"27"	"baseline"	"035"	0.941176470588235
"28"	"baseline"	"036"	1
"29"	"baseline"	"037"	1
"30"	"baseline"	"038"	1
"31"	"baseline"	"039"	1
"32"	"baseline"	"040"	1
"33"	"baseline"	"041"	1
"34"	"baseline"	"042"	1
"35"	"baseline"	"043"	1
"36"	"baseline"	"044"	1
"37"	"baseline"	"045"	1
"38"	"baseline"	"046"	1
"39"	"baseline"	"047"	1
"40"	"baseline"	"048"	1
"41"	"baseline"	"049"	1
"42"	"baseline"	"050"	1
"43"	"baseline"	"051"	1
"44"	"baseline"	"052"	1
"45"	"baseline"	"053"	1
"46"	"baseline"	"054"	1
"47"	"baseline"	"055"	1
"48"	"baseline"	"056"	1
"49"	"baseline"	"057"	1
"50"	"baseline"	"058"	1
"51"	"baseline"	"059"	1
"52"	"baseline"	"061"	1
"53"	"baseline"	"062"	1
"54"	"baseline"	"063"	1
"55"	"baseline"	"064"	1
"56"	"OSPAN"	"006"	0.826086956521739
"57"	"OSPAN"	"007"	0.89010989010989
"58"	"OSPAN"	"008"	0.955555555555556
"59"	"OSPAN"	"009"	0.978494623655914
"60"	"OSPAN"	"010"	0.877777777777778
"61"	"OSPAN"	"011"	0.517543859649123
"62"	"OSPAN"	"012"	0.908045977011494
"63"	"OSPAN"	"013"	0.736842105263158
"64"	"OSPAN"	"014"	0.987951807228916
"65"	"OSPAN"	"015"	0.930232558139535
"66"	"OSPAN"	"018"	0.69
"67"	"OSPAN"	"019"	0.943820224719101
"68"	"OSPAN"	"020"	0.974025974025974
"69"	"OSPAN"	"021"	0.962962962962963
"70"	"OSPAN"	"022"	0.714285714285714
"71"	"OSPAN"	"023"	0.504672897196262
"72"	"OSPAN"	"024"	0.891891891891892
"73"	"OSPAN"	"026"	0.83695652173913
"74"	"OSPAN"	"027"	0.83695652173913
"75"	"OSPAN"	"028"	0.79047619047619
"76"	"OSPAN"	"029"	0.849056603773585
"77"	"OSPAN"	"030"	0.693877551020408
"78"	"OSPAN"	"031"	0.858823529411765
"79"	"OSPAN"	"032"	0.98936170212766
"80"	"OSPAN"	"033"	0.96875
"81"	"OSPAN"	"034"	0.701030927835051
"82"	"OSPAN"	"035"	0.471264367816092
"83"	"OSPAN"	"036"	0.978494623655914
"84"	"OSPAN"	"037"	0.9875
"85"	"OSPAN"	"038"	0.936936936936937
"86"	"OSPAN"	"039"	0.825581395348837
"87"	"OSPAN"	"040"	0.632075471698113
"88"	"OSPAN"	"041"	0.853932584269663
"89"	"OSPAN"	"042"	0.835051546391753
"90"	"OSPAN"	"043"	0.966666666666667
"91"	"OSPAN"	"044"	0.943181818181818
"92"	"OSPAN"	"045"	0.857142857142857
"93"	"OSPAN"	"046"	0.975308641975309
"94"	"OSPAN"	"047"	1
"95"	"OSPAN"	"048"	0.826666666666667
"96"	"OSPAN"	"049"	0.610526315789474
"97"	"OSPAN"	"050"	0.987012987012987
"98"	"OSPAN"	"051"	0.905660377358491
"99"	"OSPAN"	"052"	0.864864864864865
"100"	"OSPAN"	"053"	0.966292134831461
"101"	"OSPAN"	"054"	0.75
"102"	"OSPAN"	"055"	0.902439024390244
"103"	"OSPAN"	"056"	0.773109243697479
"104"	"OSPAN"	"057"	0.845238095238095
"105"	"OSPAN"	"058"	0.894736842105263
"106"	"OSPAN"	"059"	0.818181818181818
"107"	"OSPAN"	"061"	0.686746987951807
"108"	"OSPAN"	"062"	0.944444444444444
"109"	"OSPAN"	"063"	0.822784810126582
"110"	"OSPAN"	"064"	0.977272727272727
