"Condition"	"Subject"	"mean"
"1"	"baseline"	"006"	510.25
"2"	"baseline"	"007"	332.375
"3"	"baseline"	"008"	318.466666666667
"4"	"baseline"	"009"	274.4375
"5"	"baseline"	"010"	617.75
"6"	"baseline"	"011"	356.625
"7"	"baseline"	"012"	602.352941176471
"8"	"baseline"	"013"	444.117647058824
"9"	"baseline"	"014"	336.470588235294
"10"	"baseline"	"015"	374.941176470588
"11"	"baseline"	"018"	516.8
"12"	"baseline"	"019"	477.333333333333
"13"	"baseline"	"020"	301.5625
"14"	"baseline"	"021"	405.2
"15"	"baseline"	"022"	315.5
"16"	"baseline"	"023"	577.466666666667
"17"	"baseline"	"024"	306.529411764706
"18"	"baseline"	"026"	274.2
"19"	"baseline"	"027"	426.941176470588
"20"	"baseline"	"028"	350.705882352941
"21"	"baseline"	"029"	926.533333333333
"22"	"baseline"	"030"	492.294117647059
"23"	"baseline"	"031"	373.4375
"24"	"baseline"	"032"	285.277777777778
"25"	"baseline"	"033"	387.15
"26"	"baseline"	"034"	325.3125
"27"	"baseline"	"035"	1650.6875
"28"	"baseline"	"036"	297.117647058824
"29"	"baseline"	"037"	435.058823529412
"30"	"baseline"	"038"	869.166666666667
"31"	"baseline"	"039"	498.333333333333
"32"	"baseline"	"040"	351.705882352941
"33"	"baseline"	"041"	335.375
"34"	"baseline"	"042"	374.5
"35"	"baseline"	"043"	420.647058823529
"36"	"baseline"	"044"	588.368421052632
"37"	"baseline"	"045"	378.882352941176
"38"	"baseline"	"046"	304.705882352941
"39"	"baseline"	"047"	355.5
"40"	"baseline"	"048"	592.117647058824
"41"	"baseline"	"049"	319.875
"42"	"baseline"	"050"	418
"43"	"baseline"	"051"	361.555555555556
"44"	"baseline"	"052"	533.705882352941
"45"	"baseline"	"053"	470.875
"46"	"baseline"	"054"	642.125
"47"	"baseline"	"055"	323.529411764706
"48"	"baseline"	"056"	387.05
"49"	"baseline"	"057"	378.055555555556
"50"	"baseline"	"058"	326.590909090909
"51"	"baseline"	"059"	594
"52"	"baseline"	"061"	821.058823529412
"53"	"baseline"	"062"	506.166666666667
"54"	"baseline"	"063"	1332.82352941176
"55"	"baseline"	"064"	483
"56"	"OSPAN"	"006"	1008.11842105263
"57"	"OSPAN"	"007"	847.62962962963
"58"	"OSPAN"	"008"	600.755813953488
"59"	"OSPAN"	"009"	520.142857142857
"60"	"OSPAN"	"010"	1023.41772151899
"61"	"OSPAN"	"011"	967.830508474576
"62"	"OSPAN"	"012"	1098.11392405063
"63"	"OSPAN"	"013"	1068.37142857143
"64"	"OSPAN"	"014"	407.085365853659
"65"	"OSPAN"	"015"	763.7375
"66"	"OSPAN"	"018"	855.289855072464
"67"	"OSPAN"	"019"	672.690476190476
"68"	"OSPAN"	"020"	343.64
"69"	"OSPAN"	"021"	588.384615384615
"70"	"OSPAN"	"022"	880.966666666667
"71"	"OSPAN"	"023"	1303.48148148148
"72"	"OSPAN"	"024"	688.070707070707
"73"	"OSPAN"	"026"	668.415584415584
"74"	"OSPAN"	"027"	1072.71428571429
"75"	"OSPAN"	"028"	698.746987951807
"76"	"OSPAN"	"029"	1056.97777777778
"77"	"OSPAN"	"030"	959.617647058824
"78"	"OSPAN"	"031"	847.41095890411
"79"	"OSPAN"	"032"	436.860215053763
"80"	"OSPAN"	"033"	509.849462365591
"81"	"OSPAN"	"034"	998.676470588235
"82"	"OSPAN"	"035"	1298.26829268293
"83"	"OSPAN"	"036"	522.384615384615
"84"	"OSPAN"	"037"	597.46835443038
"85"	"OSPAN"	"038"	875.028846153846
"86"	"OSPAN"	"039"	888.816901408451
"87"	"OSPAN"	"040"	988.268656716418
"88"	"OSPAN"	"041"	737.144736842105
"89"	"OSPAN"	"042"	656.679012345679
"90"	"OSPAN"	"043"	534.390804597701
"91"	"OSPAN"	"044"	1062.79518072289
"92"	"OSPAN"	"045"	902.153846153846
"93"	"OSPAN"	"046"	436.670886075949
"94"	"OSPAN"	"047"	383.158415841584
"95"	"OSPAN"	"048"	1204.83870967742
"96"	"OSPAN"	"049"	860.379310344828
"97"	"OSPAN"	"050"	612.289473684211
"98"	"OSPAN"	"051"	560.864583333333
"99"	"OSPAN"	"052"	817.296875
"100"	"OSPAN"	"053"	695.03488372093
"101"	"OSPAN"	"054"	837.47619047619
"102"	"OSPAN"	"055"	468.702702702703
"103"	"OSPAN"	"056"	713
"104"	"OSPAN"	"057"	1023.11267605634
"105"	"OSPAN"	"058"	713.338235294118
"106"	"OSPAN"	"059"	881.407407407407
"107"	"OSPAN"	"061"	870.894736842105
"108"	"OSPAN"	"062"	561.205882352941
"109"	"OSPAN"	"063"	1079.01538461538
"110"	"OSPAN"	"064"	544.53488372093
