"Subject"	"Condition"	"mean"
"1"	"001"	"Auditory"	660.5
"2"	"001"	"baseline"	490.9375
"3"	"001"	"Visual"	587.64
"4"	"002"	"Auditory"	374.367346938775
"5"	"002"	"baseline"	353.466666666667
"6"	"002"	"Visual"	382.529411764706
"7"	"003"	"Auditory"	518.625
"8"	"003"	"baseline"	313.375
"9"	"003"	"Visual"	452.6
"10"	"004"	"Auditory"	493.224489795918
"11"	"004"	"baseline"	294.933333333333
"12"	"004"	"Visual"	454.65306122449
"13"	"005"	"Auditory"	415.42
"14"	"005"	"baseline"	275.941176470588
"15"	"005"	"Visual"	422.230769230769
"16"	"006"	"Auditory"	851.408163265306
"17"	"006"	"baseline"	556.222222222222
"18"	"006"	"Visual"	786.022222222222
"19"	"007"	"Auditory"	580
"20"	"007"	"baseline"	562.588235294118
"21"	"007"	"Visual"	672.46
"22"	"008"	"Auditory"	646.06
"23"	"008"	"baseline"	364.428571428571
"24"	"008"	"Visual"	573.8
"25"	"009"	"Auditory"	469.68
"26"	"009"	"baseline"	305.0625
"27"	"009"	"Visual"	481.705882352941
"28"	"010"	"Auditory"	876.239130434783
"29"	"010"	"baseline"	501.384615384615
"30"	"010"	"Visual"	1042.97872340426
"31"	"011"	"Auditory"	811.111111111111
"32"	"011"	"baseline"	432.529411764706
"33"	"011"	"Visual"	897.948717948718
"34"	"012"	"Auditory"	568.68
"35"	"012"	"baseline"	476.789473684211
"36"	"012"	"Visual"	723.2
"37"	"013"	"Auditory"	1042.8
"38"	"013"	"baseline"	545
"39"	"013"	"Visual"	930.142857142857
"40"	"014"	"Auditory"	401.115384615385
"41"	"014"	"baseline"	338.133333333333
"42"	"014"	"Visual"	393.176470588235
"43"	"015"	"Auditory"	660.020833333333
"44"	"015"	"baseline"	402.6
"45"	"015"	"Visual"	688.0625
"46"	"016"	"Auditory"	760.565217391304
"47"	"016"	"baseline"	432.125
"48"	"016"	"Visual"	558.416666666667
"49"	"017"	"Auditory"	542.384615384615
"50"	"017"	"baseline"	311.466666666667
"51"	"017"	"Visual"	545.408163265306
"52"	"018"	"Auditory"	459.28
"53"	"018"	"baseline"	426.055555555556
"54"	"018"	"Visual"	519.163265306122
"55"	"019"	"Auditory"	497
"56"	"019"	"baseline"	360.533333333333
"57"	"019"	"Visual"	572.8125
"58"	"020"	"Auditory"	436.66
"59"	"020"	"baseline"	255.466666666667
"60"	"020"	"Visual"	353.229166666667
"61"	"021"	"Auditory"	492.1
"62"	"021"	"baseline"	400.8125
"63"	"021"	"Visual"	458.34693877551
"64"	"022"	"Auditory"	620.755102040816
"65"	"022"	"baseline"	417.571428571429
"66"	"022"	"Visual"	829.239130434783
"67"	"023"	"Auditory"	676.14
"68"	"023"	"baseline"	392.352941176471
"69"	"023"	"Visual"	664.195652173913
"70"	"024"	"Auditory"	592.897959183673
"71"	"024"	"baseline"	370.117647058824
"72"	"024"	"Visual"	588.145833333333
"73"	"025"	"Auditory"	316.137254901961
"74"	"025"	"baseline"	234.5625
"75"	"025"	"Visual"	326.392156862745
"76"	"026"	"Auditory"	519.204081632653
"77"	"026"	"baseline"	290.625
"78"	"026"	"Visual"	575.914893617021
"79"	"027"	"Auditory"	682.517857142857
"80"	"027"	"baseline"	386.1875
"81"	"027"	"Visual"	696.160714285714
"82"	"028"	"Auditory"	576.593220338983
"83"	"028"	"baseline"	332.411764705882
"84"	"028"	"Visual"	532.018181818182
"85"	"029"	"Auditory"	665.804347826087
"86"	"029"	"baseline"	755.941176470588
"87"	"029"	"Visual"	695.416666666667
"88"	"030"	"Auditory"	633.063829787234
"89"	"030"	"baseline"	443.526315789474
"90"	"030"	"Visual"	616.673076923077
"91"	"031"	"Auditory"	538.958333333333
"92"	"031"	"baseline"	437.9375
"93"	"031"	"Visual"	487.48
"94"	"032"	"Auditory"	462.78431372549
"95"	"032"	"baseline"	299.5625
"96"	"032"	"Visual"	415.333333333333
"97"	"033"	"Auditory"	536.84
"98"	"033"	"baseline"	487.470588235294
"99"	"033"	"Visual"	538.854166666667
"100"	"034"	"Auditory"	812.233333333333
"101"	"034"	"baseline"	297.5625
"102"	"034"	"Visual"	1063.96774193548
"103"	"035"	"Auditory"	929.577777777778
"104"	"035"	"baseline"	689.235294117647
"105"	"035"	"Visual"	791.309523809524
"106"	"036"	"Auditory"	463.254901960784
"107"	"036"	"baseline"	306.277777777778
"108"	"036"	"Visual"	463.509803921569
"109"	"037"	"Auditory"	648.703703703704
"110"	"037"	"baseline"	376.722222222222
"111"	"037"	"Visual"	509.142857142857
"112"	"039"	"Auditory"	763.520833333333
"113"	"039"	"baseline"	457.529411764706
"114"	"039"	"Visual"	849.195652173913
"115"	"040"	"Auditory"	840.4
"116"	"040"	"baseline"	377.611111111111
"117"	"040"	"Visual"	1028.22727272727
"118"	"041"	"Auditory"	503.375
"119"	"041"	"baseline"	399.235294117647
"120"	"041"	"Visual"	540.729166666667
"121"	"042"	"Auditory"	409.188679245283
"122"	"042"	"baseline"	270.823529411765
"123"	"042"	"Visual"	368.727272727273
"124"	"043"	"Auditory"	496.3125
"125"	"043"	"baseline"	397.111111111111
"126"	"043"	"Visual"	533.857142857143
"127"	"044"	"Auditory"	985.617021276596
"128"	"044"	"baseline"	1060.05555555556
"129"	"044"	"Visual"	939.479166666667
"130"	"045"	"Auditory"	580.765957446809
"131"	"045"	"baseline"	456.125
"132"	"045"	"Visual"	610.509803921569
"133"	"046"	"Auditory"	421.156862745098
"134"	"046"	"baseline"	330.705882352941
"135"	"046"	"Visual"	418.470588235294
"136"	"047"	"Auditory"	414.48
"137"	"047"	"baseline"	282.666666666667
"138"	"047"	"Visual"	429.1875
"139"	"048"	"Auditory"	784.62
"140"	"048"	"baseline"	501.666666666667
"141"	"048"	"Visual"	772.458333333333
"142"	"049"	"Auditory"	959.92
"143"	"049"	"baseline"	512.529411764706
"144"	"049"	"Visual"	930.976744186047
"145"	"050"	"Auditory"	521.479166666667
"146"	"050"	"baseline"	390.470588235294
"147"	"050"	"Visual"	665.020408163265
"148"	"051"	"Auditory"	568.938775510204
"149"	"051"	"baseline"	417.764705882353
"150"	"051"	"Visual"	649.3125
"151"	"052"	"Auditory"	1110.14285714286
"152"	"052"	"baseline"	779.647058823529
"153"	"052"	"Visual"	869.255319148936
"154"	"053"	"Auditory"	624.673469387755
"155"	"053"	"baseline"	494.411764705882
"156"	"053"	"Visual"	654.54
"157"	"054"	"Auditory"	488.632653061225
"158"	"054"	"baseline"	441.5
"159"	"054"	"Visual"	461
"160"	"055"	"Auditory"	762.742857142857
"161"	"055"	"baseline"	363.1875
"162"	"055"	"Visual"	803.638888888889
"163"	"056"	"Auditory"	945.652173913043
"164"	"056"	"baseline"	590.470588235294
"165"	"056"	"Visual"	975.304347826087
"166"	"057"	"Auditory"	879.619047619048
"167"	"057"	"baseline"	408.352941176471
"168"	"057"	"Visual"	852.46511627907
"169"	"058"	"Auditory"	475.372549019608
"170"	"058"	"baseline"	275
"171"	"058"	"Visual"	488.770833333333
"172"	"059"	"Auditory"	497.294117647059
"173"	"059"	"baseline"	373.722222222222
"174"	"059"	"Visual"	467.7
"175"	"060"	"Auditory"	602.56
"176"	"060"	"baseline"	564.941176470588
"177"	"060"	"Visual"	530.125
"178"	"061"	"Auditory"	804
"179"	"061"	"baseline"	661.875
"180"	"061"	"Visual"	742.787234042553
"181"	"062"	"Auditory"	559.469387755102
"182"	"062"	"baseline"	448.3125
"183"	"062"	"Visual"	580.673913043478
"184"	"063"	"Auditory"	1026.86956521739
"185"	"063"	"baseline"	1367
"186"	"063"	"Visual"	1190.32608695652
